序号,性别,学历,年龄,品牌官方旗舰店,知识型主播,明星直播间,中小商家直播间,搞笑欢快型直播间,公益助农直播间,工厂直销直播间,原产地直供,知识科普型带货,绿色环保产品推广,老年人友好型内容,VR/AR直播,健康养生直播,商品质量与描述不符,虚假宣传,售后服务差,平台监管不力,价格虚高,购物流程复杂
65,2,2,4,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
66,2,2,2,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1
67,1,1,4,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1
68,2,2,4,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1
69,2,2,2,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1
70,2,3,2,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1
71,1,3,2,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0
72,2,2,3,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
73,2,3,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
74,2,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
75,2,2,3,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1
76,1,4,3,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
77,1,3,3,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0
78,1,3,3,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
79,1,1,3,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
80,1,4,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1
81,2,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
82,2,3,2,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
83,2,2,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1
84,2,2,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
85,2,3,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
86,1,3,3,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0
87,1,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
88,2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
89,1,4,3,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0
90,1,3,2,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0
91,2,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
92,1,3,3,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1
93,2,3,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
94,2,2,4,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
95,1,3,4,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0
96,2,3,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
97,2,2,2,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
98,2,3,2,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
99,1,2,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1
100,2,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
101,1,1,4,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
102,2,3,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1
103,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
104,2,4,3,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
105,1,2,3,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
106,1,2,4,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
107,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
108,1,3,3,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
109,2,1,4,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
110,1,1,4,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
111,2,3,3,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
112,2,3,2,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0
113,2,2,3,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
114,2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
115,2,2,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
116,1,2,3,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1
117,2,3,2,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
118,2,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
119,2,2,4,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1
120,2,1,4,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
121,2,4,2,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
122,1,2,3,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
123,1,1,3,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1
124,1,2,4,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1
125,2,4,2,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1
126,2,2,4,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1
127,2,3,2,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0
128,2,2,3,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
129,1,4,4,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
130,2,3,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1
131,1,3,4,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
132,2,3,2,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
133,1,3,3,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1
134,1,3,2,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
135,1,3,3,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0
136,2,4,2,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0
137,2,2,4,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1
138,2,4,2,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
139,2,2,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
140,2,2,4,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1
141,2,3,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0
142,2,3,2,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1
143,2,2,4,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
144,2,1,2,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
145,2,3,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
146,1,2,3,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
147,1,2,3,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
148,2,3,2,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
149,2,2,4,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
150,2,3,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1
151,2,4,2,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1
152,2,3,2,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
153,2,2,4,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
154,1,2,4,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1
155,2,2,3,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
156,1,4,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0
157,1,3,3,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1
158,2,4,2,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0
159,1,3,2,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
160,2,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
161,1,3,3,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0
162,1,3,3,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0
163,2,3,2,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
164,2,3,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
165,1,2,3,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1
166,1,4,2,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1
167,2,3,2,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0
168,2,2,4,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
169,2,4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
170,1,2,4,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
171,2,2,4,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1
172,2,2,2,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
173,1,3,3,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
174,2,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
175,2,3,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
176,1,2,3,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0
177,2,3,2,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
178,1,2,3,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1
179,2,2,3,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1
180,2,4,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
181,1,1,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
182,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
